Country,Continent,Population,CO2 Emissions (metric ton)
Afghanistan,Asia,38051,9.39
Albania,Europe,2880,4.03
Algeria,Africa,43030,145.99
American Samoa,Oceania,55,0.36
Angola,Africa,31850,17.64
Antigua and Barbuda,North America,97,0.73
Argentina,South America,44833,191.36
Armenia,Asia,2957,5.98
Aruba,North America,106,1.2
Australia,Oceania,25408,410.87
Austria,Europe,8885,63.84
Azerbaijan,Asia,10041,33.29
Bahrain,Asia,1484,39.01
Bangladesh,Asia,163021,90.78
Barbados,North America,287,1.7
Belarus,Europe,9450,56.52
Belgium,Europe,11497,132.28
Belize,North America,390,0.58
Benin,Africa,11807,7.74
Bermuda,North America,63,0.8
Bhutan,Asia,763,0.97
Bolivia,South America,11513,18.34
Bosnia and Herzegovina,Europe,3304,17.27
Botswana,Africa,2303,6.19
Brazil,South America,211246,453.44
British Virgin Islands,North America,30,0.22
Brunei,Asia,433,10.23
Bulgaria,Europe,6970,41.54
Burkina Faso,Africa,20333,4.39
Burma,Asia,54067,32.97
Burundi,Africa,11536,0.68
Cabo Verde,Africa,550,1
Cambodia,Asia,16482,11.89
Cameroon,Africa,25886,7.25
Canada,North America,37601,613.09
Cayman Islands,North America,65,0.67
Central African Republic,Africa,4752,0.28
Chad,Africa,15956,1.72
Chile,South America,18923,86.87
China,Asia,1434512,10608.6
Colombia,South America,50225,75.95
Comoros,Africa,851,0.3
Congo-Brazzaville,Africa,5382,4.43
Congo-Kinshasa,Africa,86841,2.64
Costa Rica,North America,5046,7.92
Croatia,Europe,4065,17.15
Cuba,North America,11331,22.5
Cyprus,Asia,888,8.23
Czech Republic,Europe,10677,104.27
Cote d'Ivoire,Africa,25731,10.8
Denmark,Europe,5817,36.12
Djibouti,Africa,973,0.67
Dominica,North America,72,0.19
Dominican Republic,North America,10736,25.27
Ecuador,South America,17357,37.35
Egypt,Africa,100370,235.49
El Salvador,North America,6454,7.05
Equatorial Guinea,Africa,1356,4.67
Eritrea,Africa,3506,0.74
Estonia,Europe,1329,5.51
Eswatini,Africa,1148,1.2
Ethiopia,Africa,112109,14.06
Fiji,Oceania,890,1.65
Finland,Europe,5523,44.65
France,Europe,67267,341.98
Gabon,Africa,2172,3.28
Gambia,Africa,2349,0.59
Georgia,Asia,3996,9.85
Germany,Europe,83111,781.6
Ghana,Africa,30422,17.63
Greece,Europe,10721,73.67
Greenland,North America,57,0.61
Grenada,North America,112,0.32
Guadeloupe,North America,400,1.9
Guam,Oceania,167,1.83
Guatemala,North America,17582,19.71
Guinea,Africa,12778,2.98
Guinea-Bissau,Africa,1922,0.34
Guyana,South America,783,2.32
Haiti,North America,11263,3.46
Honduras,North America,9746,10.05
Hong Kong,Asia,7444,97.45
Hungary,Europe,9771,49.47
Iceland,Europe,339,3.87
India,Asia,1368140,2308.33
Indonesia,Asia,270984,529.4
Iran,Asia,82887,642.96
Iraq,Asia,39310,154.66
Ireland,Europe,4942,37.06
Israel,Asia,8518,64.59
Italy,Europe,59911,339.58
