Country Name,CO2 Emission in KG (2019)
Afghanistan,159.82
Angola,792.14
Albania,1692.25
Andorra,6481.22
United Arab Emirates,19329.56
Argentina,3740.65
Armenia,2086.06
Antigua and Barbuda,5354.48
Australia,15238.27
Austria,7293.98
Azerbaijan,3542.4
Burundi,62.44
Belgium,8095.58
Benin,618.58
Burkina Faso,246.05
Bangladesh,556.53
Bulgaria,5610.86
Bahrain,20266.1
"Bahamas, The",7291.66
Bosnia and Herzegovina,6382.92
Belarus,6122.24
Belize,1639.55
Bolivia,1940.4
Brazil,2057.81
Barbados,4355.08
Brunei Darussalam,16132.16
Bhutan,1375.98
Botswana,3147.11
Central African Republic,50.58
Canada,15430.61
Switzerland,4359.04
Chile,4821.12
China,7605.94
Cote d'Ivoire,421.13
Cameroon,364.42
"Congo, Dem. Rep.",36.99
"Congo, Rep.",1349.32
Colombia,1609.87
Comoros,376.08
Cabo Verde,1181.96
Costa Rica,1632.47
Cuba,2286.15
Cyprus,5998.8
Czech Republic,9022.79
Germany,7911.62
Djibouti,431.41
Dominica,2367.42
Denmark,5107.99
Dominican Republic,2535.63
Algeria,3977.65
Ecuador,2261.47
"Egypt, Arab Rep.",2484.06
Eritrea,251.64
Spain,5091.35
Estonia,7672.28
Ethiopia,163.81
Finland,7372.85
Fiji,1831.55
France,4468.77
"Micronesia, Fed. Sts.",1581.57
Gabon,2416.48
United Kingdom,5220.51
Georgia,2717.62
Ghana,658.82
Guinea,309.29
"Gambia, The",247.05
Guinea-Bissau,171.79
Equatorial Guinea,3945.48
Greece,5596.19
Grenada,2946.38
Guatemala,1162.97
Guyana,3640.89
Honduras,1048.62
Croatia,4063.71
Haiti,294.77
Hungary,4746.63
Indonesia,2290.4
India,1797.62
Ireland,7245.14
"Iran, Islamic Rep.",7598.36
Iraq,4440.62
Iceland,4548.44
Israel,6919.59
Italy,5311.32
Jamaica,2845.73
Jordan,2438.2
Japan,8540.98
Kazakhstan,11456.94
Kenya,423.78
Kyrgyz Republic,1556.64
Cambodia,981.41
Kiribati,765.25
St. Kitts and Nevis,4731.8
"Korea, Rep.",11799.33
Kuwait,22022.42
Lao PDR,2609.68
Lebanon,4076.89
Liberia,238.99
Libya,8380.73
St. Lucia,2954.13
Liechtenstein,3945.29
Sri Lanka,1090.68
Lesotho,362.31
Lithuania,4198.08
Luxembourg,15306.43
Latvia,3955.44
Morocco,1959.87
Moldova,3324.61
Madagascar,152.77
Maldives,3973.96
Mexico,3521.6
Marshall Islands,3061.69
North Macedonia,3996.74
Mali,296.57
Malta,3293.25
Myanmar,679.43
Montenegro,4179.88
Mongolia,7153.12
Mozambique,246.99
Mauritania,872.79
Mauritius,3294.59
Malawi,77.84
Malaysia,7927.13
Namibia,1691.71
Niger,92.23
Nigeria,573.64
Nicaragua,800.55
Netherlands,8437.07
Norway,6722.27
Nepal,470.14
Nauru,5574.14
New Zealand,6830.41
Oman,15282.44
Pakistan,879.97
Panama,3141.45
Peru,1745.59
Philippines,1345.03
Palau,13888.12
Papua New Guinea,863.71
Poland,7773.64
"Korea, Dem. People's Rep.",2183.42
Portugal,4339.77
Paraguay,1165.43
Qatar,32474.47
Romania,3817.43
Russian Federation,11797.2
Rwanda,105.33
Saudi Arabia,15284.58
Sudan,481.63
Senegal,651.68
Singapore,8307.08
Solomon Islands,537.46
Sierra Leone,115.19
El Salvador,1208.64
Somalia,44.68
Serbia,6616.05
South Sudan,153.68
Sao Tome and Principe,697.52
Suriname,4558.25
Slovak Republic,5698.42
Slovenia,6512.21
Sweden,3405.04
Eswatini,836.14
Seychelles,6248.4
Syrian Arab Republic,1506.14
Chad,141.09
Togo,293.23
Thailand,3836.09
Tajikistan,1010.62
Turkmenistan,12263.35
Timor-Leste,479.46
Tonga,1531.14
Trinidad and Tobago,12322.85
Tunisia,2557.56
Turkiye,4756.58
Tuvalu,858
Tanzania,214.63
Uganda,132.37
Ukraine,3936.58
Uruguay,1874.78
United States,14673.41
Uzbekistan,3475.54
St. Vincent and the Grenadines,2350.96
"Venezuela, RB",3939.57
Vietnam,3488.31
Vanuatu,700.28
Samoa,1522.12
"Yemen, Rep.",380.63
South Africa,7507.74
Zambia,380.72
Zimbabwe,802.98
