Country,Year,CO2 Emissions (tonnes)
China,2008,7375189907
China,2009,7758811768
China,2010,8500542695
China,2011,9388199234
China,2012,9633899303
China,2013,9796527160
China,2014,9820360492
China,2015,9716467840
China,2016,9704479432
China,2017,9838754028
United States,2008,5932775281
United States,2009,5495394958
United States,2010,5701075808
United States,2011,5570706560
United States,2012,5366730281
United States,2013,5519612557
United States,2014,5568759258
United States,2015,5420804127
United States,2016,5310861406
United States,2017,5269529513
