Country,Year,Annual CO2 Emissions
China,2008,7375189907
China,2009,7758811768
China,2010,8500542695
China,2011,9388199234
China,2012,9633899303
China,2013,9796527160
China,2014,9820360492
China,2015,9716467840
China,2016,9704479432
China,2017,9838754028
Germany,2008,854420962.4
Germany,2009,789963521.6
Germany,2010,833684918
Germany,2011,810802325.3
Germany,2012,815197408.6
Germany,2013,832642995.5
Germany,2014,793635843.4
Germany,2015,797078165.2
Germany,2016,801753007.7
Germany,2017,799373210.9
India,2008,1547991039
India,2009,1720120560
India,2010,1700027394
India,2011,1817171600
India,2012,1983758813
India,2013,1997878578
India,2014,2207533892
India,2015,2276407195
India,2016,2377447863
India,2017,2466765373
Indonesia,2008,417792048
Indonesia,2009,447301088
Indonesia,2010,427789520
Indonesia,2011,601325416
Indonesia,2012,633145032
Indonesia,2013,486130031.7
Indonesia,2014,460015658.7
Indonesia,2015,459628755.9
Indonesia,2016,464856818.4
Indonesia,2017,486843756.2
Iran,2008,534910104.2
Iran,2009,546884971.4
Iran,2010,564034508.7
Iran,2011,579040046.4
Iran,2012,600680295.7
Iran,2013,608962881.9
Iran,2014,639111335.3
Iran,2015,630361828.9
Iran,2016,637562152.6
Iran,2017,672312342.6
Japan,2008,1229245450
Japan,2009,1160203633
Japan,2010,1211572868
Japan,2011,1261398590
Japan,2012,1302082927
Japan,2013,1314069572
Japan,2014,1264173252
Japan,2015,1223666475
Japan,2016,1204318623
Japan,2017,1205061178
Russia,2008,1679794450
Russia,2009,1572439009
Russia,2010,1657560679
Russia,2011,1712424769
Russia,2012,1726099500
Russia,2013,1665988574
Russia,2014,1667110707
Russia,2015,1671895079
Russia,2016,1668069933
Russia,2017,1692794839
Saudi Arabia,2008,432336409.8
Saudi Arabia,2009,465844308.7
Saudi Arabia,2010,517715947.4
Saudi Arabia,2011,497659010
Saudi Arabia,2012,563179493.4
Saudi Arabia,2013,540805232
Saudi Arabia,2014,601896064.8
Saudi Arabia,2015,620882957.2
Saudi Arabia,2016,631549206.5
Saudi Arabia,2017,635011087.9
South Korea,2008,505782554.4
South Korea,2009,506764540.7
South Korea,2010,565960924.7
South Korea,2011,588435086.6
South Korea,2012,583631976.4
South Korea,2013,591539733.6
South Korea,2014,586548009.4
South Korea,2015,590557520.6
South Korea,2016,595073678.8
South Korea,2017,616096686.8
United States,2008,5932775281
United States,2009,5495394958
United States,2010,5701075808
United States,2011,5570706560
United States,2012,5366730281
United States,2013,5519612557
United States,2014,5568759258
United States,2015,5420804127
United States,2016,5310861406
United States,2017,5269529513
